product_reviews,product_ratings,product_price,product_name,product_image
"4,002",4.1 out of 5 stars," 8,999.00","Redmi Y1 (Dark Grey, 32GB)","https://images-na.ssl-images-amazon.com/images/I/81vXuF8is9L._SL500_SR80,160_.jpg"
"7,560",4.6 out of 5 stars," 32,999.00",OnePlus 5T (Midnight Black 6GB RAM + 64GB memory),"https://images-na.ssl-images-amazon.com/images/I/81qqBAKRhTL._SL500_SR160,160_.jpg"
"17,949",3.8 out of 5 stars," 14,999.00","Moto G5s Plus (Lunar Grey, 64GB)","https://images-na.ssl-images-amazon.com/images/I/71N5hSP49AL._SL500_SR101,160_.jpg"
"5,589",4.2 out of 5 stars," 12,999.00","Honor 7X (Blue, 4GB RAM + 32GB memory)","https://images-na.ssl-images-amazon.com/images/I/91V89Qmb5YL._SL500_SR160,160_.jpg"
225,4.1 out of 5 stars," 11,999.00","Redmi Note 4 (Dark Grey, 64GB)","https://images-na.ssl-images-amazon.com/images/I/81YxYZoHEHL._SL500_SR84,160_.jpg"
"4,002",4.1 out of 5 stars," 8,999.00","Redmi Y1 (Gold, 32GB)","https://images-na.ssl-images-amazon.com/images/I/81LDiPcfKnL._SL500_SR80,160_.jpg"
"7,560",4.6 out of 5 stars," 37,999.00",OnePlus 5T (Midnight Black 8GB RAM + 128GB memory),"https://images-na.ssl-images-amazon.com/images/I/81qqBAKRhTL._SL500_SR160,160_.jpg"
"1,728",3.9 out of 5 stars," 10,999.00","Redmi Y1 (Gold, 64GB)","https://images-na.ssl-images-amazon.com/images/I/81LDiPcfKnL._SL500_SR80,160_.jpg"
"54,128",3.9 out of 5 stars," 6,999.00","Redmi 4 (Black, 32 GB)","https://images-na.ssl-images-amazon.com/images/I/61nzk9MGSlL._SL500_SR84,160_.jpg"
"54,131",3.9 out of 5 stars," 6,999.00","Redmi 4 (Black, 16 GB)","https://images-na.ssl-images-amazon.com/images/I/61nzk9MGSlL._SL500_SR84,160_.jpg"
"1,804",3.5 out of 5 stars," 7,990.00","10.or E (Beyond Black, 3 GB)","https://images-na.ssl-images-amazon.com/images/I/6160tpVwVIL._SL500_SR80,160_.jpg"
"1,411",3.5 out of 5 stars," 12,999.00","Infocus Vision 3 (Midnight Black, 18:9 FullVision Display).","https://images-na.ssl-images-amazon.com/images/I/811AQn6G2yL._SL500_SR150,160_.jpg"
"54,128",3.9 out of 5 stars," 5,999.00","Redmi 4 (Gold, 32GB)","https://images-na.ssl-images-amazon.com/images/I/61sMiVHbQPL._SL500_SR83,160_.jpg"
"54,128",3.9 out of 5 stars," 10,999.00","Redmi 4 (Gold, 16 GB)","https://images-na.ssl-images-amazon.com/images/I/61sMiVHbQPL._SL500_SR83,160_.jpg"
"10,484",3.8 out of 5 stars," 6,999.00",Samsung On7 Pro (Gold),"https://images-na.ssl-images-amazon.com/images/I/81mKtZOvUmL._SL500_SR101,160_.jpg"
"5,590",4.2 out of 5 stars," 14,999.00","Honor 7X (Black, 4GB RAM + 32GB memory)","https://images-na.ssl-images-amazon.com/images/I/8114Tv-aLjL._SL500_SR160,160_.jpg"
"2,527",3.1 out of 5 stars," 8,999.00","Coolpad Note 5 Lite (Royal Gold, 3GB RAM + 16 GB)","https://images-na.ssl-images-amazon.com/images/I/71ZA7q5NzfL._SL500_SR83,160_.jpg"
"3,313",3.9 out of 5 stars," 32,999.00","Moto G5 Plus (32GB, Fine Gold)","https://images-na.ssl-images-amazon.com/images/I/91%2BFsUOc7RL._SL500_SR81,160_.jpg"
"1,804",3.5 out of 5 stars," 12,999.00","10.or E (Aim Gold, 3 GB)","https://images-na.ssl-images-amazon.com/images/I/61XlGi2tIFL._SL500_SR80,160_.jpg"
